symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-02-16 00:00:00+00:00,2121.9,2152.68,2104.36,2104.36,1133838,105.2987302075,106.8261796235,104.4283123142,104.4283123142,22676760,0.0,1.0
GOOG,2021-02-17 00:00:00+00:00,2128.31,2133.66,2098.92,2100.0,1020252,105.616824774,105.8823171189,104.1583537429,104.2119484593,20405040,0.0,1.0
GOOG,2021-02-18 00:00:00+00:00,2117.2,2132.735,2103.71,2110.39,1121855,105.0654939419,105.8364142368,104.3960562349,104.7275494805,22437100,0.0,1.0
GOOG,2021-02-19 00:00:00+00:00,2101.14,2130.53,2097.41,2119.27,1457612,104.2685206599,105.7269916909,104.0834203895,105.1682171482,29152240,0.0,1.0
GOOG,2021-02-22 00:00:00+00:00,2064.88,2091.42,2062.14,2067.0,1349856,102.4691276831,103.7861682127,102.3331559028,102.5743321264,26997120,0.0,1.0
GOOG,2021-02-23 00:00:00+00:00,2070.86,2082.01,2002.02,2025.01,1667377,102.7658836126,103.3191994341,99.3497166926,100.4905894045,33347540,0.0,1.0
GOOG,2021-02-24 00:00:00+00:00,2095.17,2100.78,2038.13,2041.83,1248349,103.9722609778,104.2506557544,101.1416659587,101.325277487,24966980,0.0,1.0
GOOG,2021-02-25 00:00:00+00:00,2031.36,2094.88,2021.29,2067.45,1761201,100.8057064868,103.957869804,100.3059853816,102.5966632582,35224020,0.0,1.0
GOOG,2021-02-26 00:00:00+00:00,2036.86,2071.0099,2016.06,2050.52,2076974,101.0786425423,102.7733223607,100.0464480052,101.7565164546,41539480,0.0,1.0
GOOG,2021-03-01 00:00:00+00:00,2081.51,2086.52,2046.1,2056.52,1405115,103.2943870655,103.5430069997,101.5371751155,102.0542648788,28102300,0.0,1.0
GOOG,2021-03-02 00:00:00+00:00,2075.84,2104.37,2071.26,2076.19,1134595,103.0130148046,104.4288085616,102.7857335075,103.0303834627,22691900,0.0,1.0
GOOG,2021-03-03 00:00:00+00:00,2026.71,2088.518,2010.0,2067.21,1484181,100.5749514581,103.6421572249,99.7457220967,102.5847533212,29683620,0.0,1.0
GOOG,2021-03-04 00:00:00+00:00,2049.09,2089.24,2020.27,2023.37,2118006,101.6855530802,103.6779862853,100.2553681494,100.4092048353,42360120,0.0,1.0
GOOG,2021-03-05 00:00:00+00:00,2108.54,2118.11,2046.415,2073.12,2195218,104.6357437164,105.1106524529,101.5528069078,102.878035519,43904360,0.0,1.0
GOOG,2021-03-08 00:00:00+00:00,2024.17,2128.81,2021.61,2101.13,1647429,100.4489046252,105.6416371427,100.3218652975,104.2680244125,32948580,0.0,1.0
GOOG,2021-03-09 00:00:00+00:00,2052.7,2078.04,2047.83,2070.0,1697306,101.8646983821,103.1221892268,101.6230259111,102.7232063384,33946120,0.0,1.0
GOOG,2021-03-10 00:00:00+00:00,2055.03,2075.0,2033.37,2071.76,1268592,101.9803240201,102.9713300252,100.9054522089,102.8105458762,25371840,0.0,1.0
GOOG,2021-03-11 00:00:00+00:00,2114.77,2125.7,2072.38,2074.06,1239080,104.9449058301,105.4873042095,102.8413132134,102.9246827721,24781600,0.0,1.0
GOOG,2021-03-12 00:00:00+00:00,2061.92,2090.26,2047.55,2085.0,1725794,102.3222384606,103.7286035174,101.6091309847,103.4675773989,34515880,0.0,1.0
GOOG,2021-03-15 00:00:00+00:00,2066.49,2067.06,2043.51,2062.3,1298325,102.5490235103,102.5773096106,101.4086470457,102.3410958608,25966500,0.0,1.0
GOOG,2021-03-16 00:00:00+00:00,2092.52,2123.56,2070.0,2078.99,1491564,103.8407554238,105.3811072715,102.7232063384,103.1693327273,29831280,0.0,1.0
GOOG,2021-03-17 00:00:00+00:00,2091.08,2109.78,2054.0,2076.03,1299016,103.769295802,104.6972783907,101.9292105407,103.0224435047,25980320,0.0,1.0
GOOG,2021-03-18 00:00:00+00:00,2036.22,2075.5,2033.55,2061.0,1362430,101.0468827104,102.9961423939,100.9143846616,102.2765837022,27248600,0.0,1.0
GOOG,2021-03-19 00:00:00+00:00,2043.2,2053.1,2017.68,2042.05,2314893,101.3932633771,101.884548277,100.1268400797,101.3361949292,46297860,0.0,1.0
GOOG,2021-03-22 00:00:00+00:00,2038.59,2057.99,2026.07,2041.84,1954816,101.1644933379,102.1272132427,100.5431916261,101.3257737343,39096320,0.0,1.0
GOOG,2021-03-23 00:00:00+00:00,2052.96,2072.3025,2039.22,2051.7,1366997,101.8776008138,102.8374672962,101.1957569224,101.8150736447,27339940,0.0,1.0
GOOG,2021-03-24 00:00:00+00:00,2045.06,2078.21,2041.555,2065.37,1154029,101.4855653886,103.1306254322,101.3116306842,102.4934438045,23080580,0.0,1.0
GOOG,2021-03-25 00:00:00+00:00,2044.36,2058.87,2010.73,2044.81,1418907,101.4508280725,102.1708830116,99.781948155,101.4731592043,28378140,0.0,1.0
GOOG,2021-03-26 00:00:00+00:00,2035.55,2050.99,2014.0201,2038.86,1493800,101.0136341363,101.7798400812,99.9452185034,101.177892017,29876000,0.0,1.0
GOOG,2021-03-29 00:00:00+00:00,2055.95,2058.43,2015.62,2027.88,1229777,102.0259787785,102.1490481272,100.0246131207,100.6330124008,24595540,0.0,1.0
GOOG,2021-03-30 00:00:00+00:00,2055.54,2070.78,2044.03,2057.63,1036774,102.0056326362,102.7619136336,101.4344519092,102.1093483373,20735480,0.0,1.0
GOOG,2021-03-31 00:00:00+00:00,2068.63,2093.3273,2056.745,2059.12,1459930,102.6552204483,103.8808174743,102.0654304447,102.1832891959,29198600,0.0,1.0
GOOG,2021-04-01 00:00:00+00:00,2137.75,2142.94,2096.89,2097.95,1698978,106.0852822947,106.3428346816,104.0576155261,104.1102177477,33979560,0.0,1.0
GOOG,2021-04-05 00:00:00+00:00,2225.55,2237.31,2151.62,2152.94,2164875,110.442334235,111.0259211464,106.7735774019,106.8390820552,43297500,0.0,1.0
GOOG,2021-04-06 00:00:00+00:00,2224.75,2237.66,2214.8,2222.5,1353036,110.4026344451,111.0432898045,109.9088683084,110.2909787861,27060720,0.0,1.0
GOOG,2021-04-07 00:00:00+00:00,2249.68,2255.0,2225.3303,2226.13,1289861,111.6397791476,111.9037827503,110.4314316802,110.4711165827,25797220,0.0,1.0
GOOG,2021-04-08 00:00:00+00:00,2265.44,2284.005,2257.68,2277.96,1358259,112.4218650084,113.3431482575,112.0367770465,113.0431667201,27165180,0.0,1.0
